id,utterance,label
356,"Well, var alveg viss um að ég var búinn að skrifa hérna komment um 7. boðorðið og það þú þyrðir ekki að spyrjaum :)",'Gleði;Undrun'
198,hm hvað meinarðu,'Undrun'
464,Las yfir greinina um kjörgengi og sá þar mér til leiðinda að ekki er talað um fyrrverandi Þingmenn. BB er ekki lengur á þingi,'Reiði;Undrun'
30,"
Ertu að gefa í skyn, Jóhannes, að fáir aðrir koma til greina sem oddviti Sjálfstæðisflokksins en ritstjóri vor í Hádegismóum? Að Reykjavík verði enn á ný Borg Davíðs? Að glataði sonurinn komi nú loksins heim aftur eftir miklar svaðilfarir og taki við stjórn þessarar borgar, sem hefur verið forarpyttur spillingar og skipulagsleysis allar götur síðan 1991?",'Undrun'
444,"Hef oft velt því fyrir mér hver þessi almenningur er sem finnst feministi vera skammaryrði, sökum baráttu þeirra sem ég vil kalla duglegra feminista. Ég hef nefnilega hingað til talið mig til almennings, en verð kannski að fara að endurmeta þá skilgreiningu því í bloggheimum eru örfáir menn sem tönglast á þessu sí og æ.",'Hneykslun;Undrun'
159,Kannski þeir eigi eftir að naga skóna sína í kvöldmat?,'Fyrirlitning'
303,"
Hinn kaþólski skóli gat sér gott orðspor eingöngu vegna þess að níðingsverkin voru þögguð niður. Ég man í denn að aldrei var talað um Möggu Müller öðruvísi en með fyrirlitningu á mínu heimili, enda öllum ljóst að hún væri snargeðbiluð.
En mikið afskaplega hefur frú Müller tekið sig vel út á stéttinni þar sem hún hefur legið eins og illa framreidd spaghettí klessa eftir stökkið góða!
http://littlestorieseverywhere.com/wp-content/uploads/2010/11/NY0100_BBQ-Spaghetti_lg.jpeg
Og jú jú það er sorgleg staðreynd að hin kaþólska kirkja, að undirlagi hennar æðstu yfirboðara,  gerði tilraun til að hylma yfir með barnaníðingum sem frömdu sálarmorð á þúsundum barna.
Alls kostar óhuggulegt ""apparat"" eins og það er orðað hér að ofan.",'Fyrirlitning'
67,"Margrét er nokkurn veginn sá fáfróðasti Biblíufræðari hérlendis sem ég veit af; hún hyggur m.a.s. Gamla testamentið 4-5 þúsund ára gamalt! - Innlegg hennar og þessarar lafði Elínar um texta Biblíunnar, meinta ""ritskoðun"" hennar og meinta framsetningu Konstantíns keisara á Biblíunni byggja á söguvillu-hjáfræðum og sennilega á skáldskapar-samsetningi Dans Brown, sem af þekktum höfundum er einhver hinn al-óáreiðanlegasti um sögu kirkjunnar sem um getur.",'Reiði;Fyrirlitning'
148,"
Þeir sem sjá ekkert athugavert við stjórnsýsluna í málinu ættu að fara í heilarannsókn.
Halló! Finnst mönnum það allt í lagi að einhverjir leppar ríkisstjórnarinnar funda með bæjaryfirvöldum, segja þeim að það séu einhverjir flóttamenn einhvers staðar frá að koma og Akraneskaupstaður beðinn um að taka við þeim? Þeir fá síðan úrslitakosti að taka síðan við báðum hópunum eða hvorugum!
Ég neita að trúa því að fólk geti verið svona heimskt.",'Fyrirlitning;Reiði'
104,Við getum sótt um í Sómalíu.  Við vorum alvarlega að hugsa um það.  Það væri kannski ekki verra en frelsið þitt og Össurar og annarra dýrkenda þvingunarveldisins.,'Fyrirlitning'
