id,utterance,label
281,"Því má líka bæta við að um og yfir 400 störf eru tengd Reykjvíkurflugvelli en lattéliðið úr 101 finnst kannski að það skipti öngvu.
hárrétt hjá þér ásthildur með tjörnina og votlendið þar í kring.
latte liðið úr 101 vill bara skipta sér af náttúrunni á landsbyggðinni
Man einhver eftir mótmælum þegar að fjörunni við Skúlagötu var breytt og reyndar við Sæbraut og allt inn að Elliðavogi",'Kaldhæðin'
176,"
Ég skil ekki af hverju að þjóð úr hitabeltinu, eins og Íslendingar, séu að keppa á Ólympíuleikunum. Ég vissi ekki einu sinni, fyrr en nú, að leikarnir væru í gangi, - nei, annars ég sá frétt um daginn að það væri allt að bráðna í Vancouver. Þá ætti okkar mönnum að ganga vel.",'Kaldhæðin'
405,"Þessi styrking er snilld, ég er farinn að skoða nýja Pallbíla til kaups á meðan krónan er svona ""sterk""!",'Kaldhæðin'
10,Ég minnkaði drykkjuna um 5% í morgun í tilefni dagsins.,'Kaldhæðin'
378,Spánverjar - með stórum staf sko! Ekki má nú gera lítið úr svona mikilmennum.,'Kaldhæðin'
268,"
Þú hefur nú með þessari bloggfærslu sannað svo eftirminnilega það sem ég var að fullyrð, þú ert ekki fræðimaður, heldur málpípa fyrir öfgasamtök útí bæ.  Það sést líka vel á þeim sem taka undir með þér, hatursfullt öfgalið.  Merkilegt að þú skulir vera að barma þér undan minni ókurteis, en þakkar svo meðhlægjendum fyrir að kalla mig öllum illum nöfnum.  Greinilegt að þú ferð í manngreinarálit hverjum leifist dónaskapur og hverjum ekki, einkennandi fyrir þig og þinn ""fræðimannsferil"".
Það sem ég var að segja var að til þess að þessi mál komist á ræðanlegt  plan þarf að fá fólk með eðlilegar og vitrænar skoðanir, ekki fólk eins og þig og þína meðhlægjendur, fólk sem gangist upp í því að leika fórnarlambi.  Þú auðvitað, að hætti hins hefðbundna feminista, hleypur í felur frá umræðuefninu og ákveður að leika fórnarlambið.  Auðvitað ertu ekki fræðimaður heldur málpípa, og svona bara til þess að valda þér verulegum vonbrigðu og þessum aumingjum sem hafa verið að gjamma með þér, þá var aldrei meiningin að ""fjarlægja"" þig.
Umræðan þarf fólk með fullu viti, ekki svona úrgang og dusilmenni eins og þessa meðhlægjendur þína.",'Ekki kaldhæðin;Ekki kaldhæðin'
382,"
Hvar vorum við öll þegar spillingarliðið óð uppi og sigldi öllu í þrot?
Við sem sátum hjá, berum við enga ábyrgð?
En þessu verður öllu að linna. Ef ruglið heldur áfram þá fer þetta allt í klessu.
Hannes Hólmsteinn er með talsvert yfirgripsmikið viðtal í Viðskipablaðinu í dag og þar segir hann að 3 fjölskyldur hafi hirt völdin i landinu af pólitíkusum. Var það ekki Hannes sem vildi einkavæða allt og koma öllu í hendurnar á einkaaðilum.
En hvað er Hannes að segja? Að pólitíkusar hafi séð að sér og vilji nú taka völdin aftur? Hvernig? Með því að keyra bankana í kaf og fara með samfélagið út á ystu brún gjaldþrots - þurrka út alla einkaaðila?
Sigurður Einarsson sagði í Markaðnum í dag að Davíð Oddsson hefði hótað honum að koma KB Banka í þrot.
Spáið í þetta",'Ekki kaldhæðin'
126,"
Jón Ásmundur, þú ert fæðingarhálfviti og hefur alltaf verið.
Troddu þessu væli í eigin görn.
Þú hefur ekki vit til að ræða um einn einasta hlut með viti, því þú hefur ekkert.
Gangandi stoðkerfi fyrir heilaskemmd.
PS Og þú ert Jón Ásmundur. Þegir í næstum 4 klst. og svo byrja þið ""báðir"" að blaðra nákvæmlega sömu delluna.
Get a life.",'Ekki kaldhæðin'
250,Innilega til hamingju með áfangann!!!,'Ekki kaldhæðin'
192,"
Færðu ekki biðlaun, Guðmundur?
",'Ekki kaldhæðin;Ekki kaldhæðin'
110,"Já, segi ég bara og amen við þessu.",'Óljós;Kaldhæðin'
237,"
thetta er bara ordinn farsi og hreint út sagt ad verda fyndid...eda ekki..kannski frekar grátlegt bara hvad kemur næst????
knus og krammar til thin Jenný",'Óljós'
156,"Varðandi komment Arnar, þá er vert að benda honum á þá staðreynd að fjármagn fer ekki í fýlu.  Svona hræðsluáróður a&#39;la Þórólfur Matt bítur hreinlega ekki og á ekki við nein rök að styðjast.",'Kaldhæðin;Ekki kaldhæðin'
458,Það er spurning hvort ekki sé best að yfirgefa skerið.  Mér er boðin vinna í Katar þar eru launin 5 sinnum hæri og skattfrjáls.,'Óljós'
194,"
´Mikil hlýtur Þórðargleði þín að vera mikil núna Hr Ómar.En lausnin er bara ein virkjanir á landsbyggðini. Nú er farið að huga að virkjun Geitdalsár ,svo er Jökulsá á fjöllum eftir ásamt Eyjabökkum ofl
http://www.ruv.is/frett/orkuskortur-yfirvofandi-vida-um-land",'Óljós'
