utterance,label
"Svo virðist sem The Mutilation Man fjallar um gaur sem reikar um landið og sýnir sjálfslimlestingu sem leið til að takast á við ofbeldisfulla æsku sína. Ég nota orðið „að því er virðist“ vegna þess að án þess að hlusta á athugasemdir leikstjórans Andy Copp (sem ég hafði ekki tiltækt fyrir mig) eða lesa upp á myndina áður en þeir horfa, munu áhorfendur ekki hafa hugmynd um hvað hún fjallar um. Gorehounds og aðdáendur öfgakenndra kvikmynda gætu verið tálbeita til að horfa á The Mutilation Man með loforði um hörð atriði af skvettum og órólegu myndefni úr raunveruleikanum, en nema þeir séu líka hrifnir af tilgerðarlegri, höfuðverk-framkallandi, tilraunakenndri listhúsabíó, Mér finnst þetta algjört húsverk til að sitja í.82 mínútur af ljótu myndmáli ásamt ósamhljóða hljóði, hræðilegri tónlist og óskiljanlegum samræðum, þetta geigvænlega hræðilega drasl er fullkomin leið til að prófa geðheilsuna: ef þú hefur enn þegar þú ert búinn að ná öllum kúlum þínum, þá slökktirðu á þessu drasli og horfir á eitthvað almennilegt í staðinn (ég horfði á allt en veit vel að ég er alveg að gelta!).",negative
"Ég verð að segja að Krasinski er eina ástæðan fyrir því að ég horfði á þessa mynd. Hann er góður. Hins vegar er allt annað við þessa mynd svo langt undir meðallagi að það er ekki þess virði að eyða tíma og fyrirhöfn í að horfa á þessa mynd. Þessi mynd hefur fullt af tæknilegum/fagurfræðilegum vandamálum: nefnilega myndaval, innrömmun, hreyfingar myndavélarinnar í einleiksröðum, mjög slæmar. klippingu (sennilega vegna algjörs skorts á vökva í og ​​á milli mynda), og almennt hræðilegur leikur (nema Krasinski). Það var allt of leikrænt (í leik og framsetningu) til að þróa einhvers konar spennu augnablik í þessari mynd... sem kemur á óvart, því þetta snýst allt um bankarán, sem ætti að vera að minnsta kosti nokkuð spennandi.Hvernig verður svona slæm mynd gerð, og síðan gefin út, OG SÍÐAN dreift?Minnir mig soldið á ritgerðarverkefni C-kvikmyndanemanda, líklega ekki einu sinni svo gott samt.",negative
"David Beckham er bresk knattspyrnustjarna og eiginmaður Victoria Beckham (""Posh Spice"" of the Spice Girls). Vörumerki hans er markskot sem sveigir yfir völlinn og í netið. Fótboltaígildi óslóanlegs ferjubolta í hafnabolta. „Beygðu það eins og Beckham“ þýðir að gera svona stórkostlegt skot. Fyrir utan það, og smá helgidómur fyrir hann í svefnherbergi aðalpersónunnar og gervimyndamynd alveg í lokin, hefur myndin ekkert með hann að gera. Myndin er full af litlum fótboltabröndurum, eins og nútíðinni sem Foreldrar eins persónanna gefa henni treyju með númerinu 9 á (eign hinnar miklu Mia Hamm, fyrir þá sem vita), tilvísanir í ""Posh 'n' Becks,"" myndbandshyllinguna til WUSA einn af persónurnar leika fyrir vantrúaðan vin (""Þeir *hafa* það??""), lesbíur, íþróttabrjóstahaldara og svo framvegis. Sagan fjallar um unglingsstúlku í Englandi sem dáir Beckham og vill verða fótboltastjarna . Hún hefur raunverulega hæfileika, en tvær hindranir sem virðast óyfirstíganlegar sem hún þarf að yfirstíga eru skortur á atvinnukvennadeild í Bretlandi (þess vegna hrifning þeirra á WUSA okkar), og foreldrar hennar, sem eru indverskir innflytjendur, sett á mjög gamaldags hátt. sem leyfa dætrum meðal annars ekki að stunda snertiíþróttir. Fjölskylda stúlkunnar er sýnd sem kaldhæðnisleg skemmtun, en af ​​mikilli væntumþykju - hugsaðu um My Big Fat Greek Wedding. Stúlkan elskar og virðir þau nógu mikið til að fara í gegnum grínþáttahelvíti til að leyna vaxandi fótboltastjörnu sinni fyrir þeim.",positive
"Ein besta kvikmynd allra tíma, hugmyndin um tvöfalda túlkun tekur til okkar allra. Væri Prot geðklofi eða E.T? (Eflaust að mínu mati, en við skulum hafa spurninguna opna...). Kevin Spacey, stórskjáskrímslið, leikur Prot eins og það á að gera. Við skulum ekki gleyma Jeff Bridges og frábæra geðlækninum hans. Loks meistaraverk sem talar sínu máli. Geta haft augun opin frá upphafi til innréttinganna og huga okkar að hugsa jafnvel þegar myndinni er lokið. Ef þú horfðir samt ekki á það, farðu strax! Og aftur, aftur...",positive
"Ég var hneykslaður að lesa öll þessi frábæru ummæli um þessa mynd því ég hataði hana. Ég rak það út til enda, en það var sársaukafullt - sérstaklega að þurfa að hlusta á þessa rödd barnsins. Eins og Socact-1 sagði, jafnvel þó að stúlkan hafi haldið því fram að hún væri frá Chicago, þá var hún ekki með Chicago hreim - Það hljómaði meira eins og hún væri að reyna að líkja eftir NY hreim - en tókst það líka. Ég var svo ringlaður að ég beið eftir punchline. Af öllum frábæru leikurunum sem hefðu getað leikið þetta barn, hvers vegna völdu þeir þennan? Og hvers vegna að neyða hana til að tala svona? Þetta var ekki einu sinni bara hreimurinn, heldur handritið, einleikurinn sem var búinn til fyrir hana. Ástæðan fyrir því að ég valdi þessa mynd var að söguþráðurinn höfðaði til mín - þetta tímabil í sögunni, tegund persóna sem eru fátækar og ómenntaðar, umgjörðin - og ástarþríhyrningurinn. Hvað mig varðar hefði það getað og hefði átt að vera miklu betra. Mér fannst bara svoooo létt að lesa að að minnsta kosti einni annarri leið eins og ég um þessa mynd.",negative
"Jæja, þessi mynd sló í gegn. Persónurnar voru veikburða, söguþráðurinn veikari. Ég hélt að þetta gæti ekki verið slæmt því það er með Christoper Walken, úps. Hann hlýtur að hafa gert þetta vegna þess að honum leiddist og þurfti peningana. Persónurnar áttu að vera írskar en enginn var með írskan hreim. Ég er í örvæntingu að reyna að finna eitthvað sniðugt við þetta, ég get ekki annað en Walken hafi staðið sig vel með viðarkarakter. Finndu eitthvað til að lesa, eða horfðu á uppgötvun, aldrei sjá þessa mynd.",negative
"Ég var 15 ára þegar þessi mynd var frumsýnd í sjónvarpinu. Þar sem ég var alinn upp í Texas, skildi ég leiðindin og einhæfni unglingalífsins þar. Þessi mynd snerti hrifnæmt unglingshjarta mitt og ég minntist hennar með hlýju í gegnum síðustu 12 árin. Ég fékk nýlega að sjá það í 2., 3. og 4. skipti, takk fyrir á LOVE rásina. Ég græt enn vegna þess að myndin nær inn og snertir innri ruglaða unglinginn minn.",positive
"Hér er ein mynd sem er virkilega fyndin á hverju augnabliki sem hún fjallar um. Hvernig er ekki hægt að gefa því að þessi mynd skartar höfundum South Park og er leikstýrt af David Zucker? Þegar ég sá þessa mynd fyrst áttaði ég mig ekki strax á því að Coop og Doug voru í raun Matt og Trey en hæfileikar þeirra í leik og skrifum komu mjög áhrifamikill út. Það kom mér skemmtilega á óvart að heyra að þeir voru raunverulega Matt og Trey síðar. Húmorinn er stundum grófur, stundum ljótur, stundum ljómandi, stundum lúmskur, stundum hávær og stundum heimskulegur en á heildina litið er þetta helvítis mynd sem án efa er undir metin. Jæja reyndar, það er geðveikt. Alveg geðveikt.",positive
"Ég verð að taka undir hinar tvær athugasemdirnar. Ég beið í meira en mánuð eftir að sjá þessa frábæru nýju sýningu sem A&E hafði verið að efla. Þvílík vonbrigði!!! Þátturinn fjallar nokkurn veginn um Ryan Buell. Rödd hans eru töff, ekki hrollvekjandi. Það hljómar eins og hann sé að tala í dós. Frá og með öðrum þætti, sem er um það bil 30 mínútur eða svo (ef þú tekur út auglýsingarnar), er hann eltur eða eltur af einhverju sem hann veit að er djöfullegt. Hann getur ekki sagt nafnið, hvenær sem einhver þarf að koma því nafni á framfæri skrifar hann það á blað og afhendir einhverjum öðrum. Ekki sérstaklega fræðandi eða skemmtilegt eða trúverðugt fyrir okkur hin. Af hverju getur hann ekki sagt nafnið?...það gæfi púkanum meira vald. Fyndið, ég hélt alltaf að djöflar vildu fela sitt sanna deili. Ef þú veist nákvæmlega nafn púkans, auðveldar það þér ekki að reka hann út. Nú ber næsti þáttur, sem fer í loftið eftir stutta stund, yfirskriftina „Exorcism“. Svo þarf Ryan nú þegar á útrás? Ekki að segja að það gæti ekki gerst en þátturinn hingað til hefur ekki gefið neinar sannanir eða sannanir fyrir neinu. Ég get sagt við Ryan að ef ég væri lítið barn, helvítis ef ég væri fullorðinn, og einhver gæfi mér litla flösku af heilögu vatni til að elta eitthvað í burtu sem hræddi mig, myndi ég leita annars staðar eftir hjálp!!! Þar að auki, ef þú notar ekki heilagt vatn og blessanir, o.s.frv. á réttan hátt, átt þú þá ekki á hættu að gera það sem er þegar reiður við þig enn frekar til reiði? Ég mun líklega horfa á þetta í kvöld en ef þessir þættir eru jafn fáránlegir og þeir fyrstu, þá er það líklega í síðasta skiptið sem ég horfi á hann!",negative
"Bandarísk lokaatriði í ""Blood Island"" seríunni af filippseyskum hryllingsmyndum snertir Abdul Amir (Reed Hadley), höfðingja í skálduðu landi. Hann deyr úr krabbameini, en samt er búið að finna út hvernig á að koma honum aftur: setja heilann í gjafalíkama. Brjálaði læknirinn sem ræður (Kent Taylor) setur það í mjög ólíklegan líkama: risastóran þjón sem heitir Gor (John Bloom) með ör. Læknirvinur höfðingjans reynir að ráða bót á málum og binda enda á áætlanir vitlausu læknanna. Kvikmyndagerðarfélagarnir Samuel M. Sherman (framleiðandi) og Al Adamson (leikstjóri) safna nokkrum leikurum sem þeir hafa unnið með áður, þar á meðal Taylor. , kynþokkafull eiginkona Adamsons, Regina Carrol, Angelo Rossitto, Zandor Vorkov og Vicki Volante. Þeir reyndu að fara eftir tilfinningunni frá fyrri ""Blood Island"" færslunum en maður getur sagt að þetta hafi verið gert við ríkið. Þó að hún sé ekki endilega ""góð"" mynd, þá er hún með fullt af skemmtilegum þáttum til að bæta upp í skemmtilega drasl heild. Illgjarn dvergur (Rossitto), gífurlegar aðgerðir, frekar ósannfærandi förðunarstarf á Bloom, pólitískur fíflagangur, hellir fullir af kóngulóarvef o.s.frv. Frásögnin er í raun nokkuð samfelld, með söguþræði fléttum hér og þar. Ég held að það hefði mátt klippa það aðeins; sumar senur dragast. En það hefur sín skemmtilegu augnablik og endir sem fólk gæti ekki búist við. Fyrir svona hluti er leiklistin ekki svo slæm. Bæði Taylor og Rossitto eru skemmtileg; sá síðarnefndi virðist skemmta sér nokkuð vel í hlutverki sínu. Volante er nógu aðlaðandi og Williams er O.K. í hetjuhlutverkinu. Hvað sem því líður þá er gaman að sjá öll þessi kunnuglegu andlit í einni af þessum myndum. Algjörlega ekkert sérstakt, en sem drasl B ""hryllingur"" (ég nota orðið lauslega, ekkert af þessu er nákvæmlega skelfilegt) kvikmynd, hún er vissulega skemmtileg .7/10",positive
