Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, worse, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:03:06
senticnet, better, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:03:06
senticnet, AVERAGE, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:03:06
senticnet, worse, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:04:42
senticnet, better, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:04:42
senticnet, AVERAGE, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:04:42
senticnet, worse, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:23
senticnet, better, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:23
senticnet, AVERAGE, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:23
senticnet, worse, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:48
senticnet, better, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:48
senticnet, AVERAGE, 0.17, 0.00, 0.00, 0.00, 07/28/24-20:05:48
senticnet, worse, 0.61, 0.28, 0.33, 0.30, 07/28/24-20:07:36
senticnet, better, 0.61, 0.75, 0.70, 0.72, 07/28/24-20:07:36
senticnet, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/28/24-20:07:36
gpt-4o, worse, 0.83, 0.71, 0.60, 0.65, 07/28/24-20:09:27
gpt-4o, better, 0.83, 0.87, 0.91, 0.89, 07/28/24-20:09:27
gpt-4o, AVERAGE, 0.83, 0.83, 0.83, 0.83, 07/28/24-20:09:27
gpt-4-turbo, worse, 0.74, 0.49, 0.54, 0.51, 07/28/24-20:11:57
gpt-4-turbo, better, 0.74, 0.83, 0.81, 0.82, 07/28/24-20:11:57
gpt-4-turbo, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/28/24-20:11:57
gpt-3.5-turbo-0125, worse, 0.78, 0.64, 0.35, 0.46, 07/28/24-20:13:30
gpt-3.5-turbo-0125, better, 0.78, 0.80, 0.93, 0.86, 07/28/24-20:13:30
gpt-3.5-turbo-0125, AVERAGE, 0.78, 0.78, 0.78, 0.78, 07/28/24-20:13:30
open-mistral-nemo-2407, worse, 0.58, 0.31, 0.52, 0.39, 07/28/24-20:18:02
open-mistral-nemo-2407, better, 0.58, 0.78, 0.59, 0.67, 07/28/24-20:18:02
open-mistral-nemo-2407, AVERAGE, 0.58, 0.58, 0.58, 0.58, 07/28/24-20:18:02
mistral-large-latest, worse, 0.71, 0.45, 0.44, 0.44, 07/28/24-20:23:16
mistral-large-latest, better, 0.71, 0.80, 0.81, 0.81, 07/28/24-20:23:16
mistral-large-latest, AVERAGE, 0.71, 0.71, 0.71, 0.71, 07/28/24-20:23:16
claude-3-5-sonnet-20240620, worse, 0.74, 0.50, 0.62, 0.55, 08/06/24-21:33:55
claude-3-5-sonnet-20240620, better, 0.74, 0.85, 0.78, 0.82, 08/06/24-21:33:55
claude-3-5-sonnet-20240620, AVERAGE, 0.74, 0.74, 0.74, 0.74, 08/06/24-21:33:55
claude-3-haiku-20240307, worse, 0.72, 0.46, 0.30, 0.37, 08/06/24-22:00:12
claude-3-haiku-20240307, better, 0.72, 0.78, 0.86, 0.82, 08/06/24-22:00:12
claude-3-haiku-20240307, AVERAGE, 0.72, 0.73, 0.72, 0.72, 08/06/24-22:00:12
