Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, worse, 0.61, 0.28, 0.33, 0.30, 07/28/24-20:29:01
senticnet, better, 0.61, 0.75, 0.70, 0.72, 07/28/24-20:29:01
senticnet, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/28/24-20:29:01
senticnet, worse, 0.61, 0.28, 0.33, 0.30, 07/28/24-20:30:00
senticnet, better, 0.61, 0.75, 0.70, 0.72, 07/28/24-20:30:00
senticnet, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/28/24-20:30:00
senticnet, worse, 0.61, 0.28, 0.33, 0.30, 07/28/24-20:30:51
senticnet, better, 0.61, 0.75, 0.70, 0.72, 07/28/24-20:30:51
senticnet, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/28/24-20:30:51
senticnet, worse, 0.61, 0.28, 0.33, 0.30, 07/28/24-20:31:19
senticnet, better, 0.61, 0.75, 0.70, 0.72, 07/28/24-20:31:19
senticnet, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/28/24-20:31:19
gpt-4o, worse, 0.82, 0.67, 0.63, 0.65, 07/28/24-20:33:14
gpt-4o, better, 0.82, 0.87, 0.88, 0.88, 07/28/24-20:33:14
gpt-4o, AVERAGE, 0.82, 0.82, 0.82, 0.82, 07/28/24-20:33:14
gpt-4-turbo, worse, 0.76, 0.53, 0.70, 0.60, 07/28/24-20:35:53
gpt-4-turbo, better, 0.76, 0.88, 0.78, 0.83, 07/28/24-20:35:53
gpt-4-turbo, AVERAGE, 0.76, 0.76, 0.76, 0.76, 07/28/24-20:35:53
gpt-3.5-turbo-0125, worse, 0.73, 0.48, 0.34, 0.40, 07/28/24-20:37:45
gpt-3.5-turbo-0125, better, 0.73, 0.79, 0.87, 0.83, 07/28/24-20:37:45
gpt-3.5-turbo-0125, AVERAGE, 0.73, 0.73, 0.73, 0.73, 07/28/24-20:37:45
open-mistral-nemo-2407, worse, 0.41, 0.29, 0.88, 0.44, 07/28/24-20:42:20
open-mistral-nemo-2407, better, 0.41, 0.85, 0.25, 0.39, 07/28/24-20:42:20
open-mistral-nemo-2407, AVERAGE, 0.41, 0.41, 0.41, 0.41, 07/28/24-20:42:20
mistral-large-latest, worse, 0.71, 0.46, 0.54, 0.49, 07/28/24-20:47:29
mistral-large-latest, better, 0.71, 0.83, 0.78, 0.80, 07/28/24-20:47:29
mistral-large-latest, AVERAGE, 0.71, 0.71, 0.71, 0.71, 07/28/24-20:47:29
