Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, surprise, 0.48, 0.21, 0.17, 0.19, 08/07/24-17:29:03
gpt-4o, contempt, 0.48, 0.30, 0.45, 0.36, 08/07/24-17:29:03
gpt-4o, anger, 0.48, 0.43, 0.15, 0.22, 08/07/24-17:29:03
gpt-4o, sadness, 0.48, 0.42, 0.83, 0.56, 08/07/24-17:29:03
gpt-4o, happiness, 0.48, 0.81, 0.60, 0.69, 08/07/24-17:29:03
gpt-4o, indignation, 0.48, 0.17, 0.47, 0.25, 08/07/24-17:29:03
gpt-4o, disgust, 0.48, 0.33, 0.50, 0.40, 08/07/24-17:29:03
gpt-4o, fear, 0.48, 0.22, 0.67, 0.33, 08/07/24-17:29:03
gpt-4o, neutral, 0.48, 0.77, 0.56, 0.65, 08/07/24-17:29:03
gpt-4o, AVERAGE, 0.48, 0.49, 0.48, 0.49, 08/07/24-17:29:03
gpt-4o, surprise, 0.49, 0.19, 0.17, 0.18, 08/07/24-18:15:37
gpt-4o, contempt, 0.49, 0.35, 0.49, 0.41, 08/07/24-18:15:37
gpt-4o, anger, 0.49, 0.57, 0.13, 0.21, 08/07/24-18:15:37
gpt-4o, sadness, 0.49, 0.41, 0.75, 0.53, 08/07/24-18:15:37
gpt-4o, happiness, 0.49, 0.80, 0.62, 0.70, 08/07/24-18:15:37
gpt-4o, indignation, 0.49, 0.18, 0.60, 0.28, 08/07/24-18:15:37
gpt-4o, disgust, 0.49, 0.20, 0.50, 0.29, 08/07/24-18:15:37
gpt-4o, fear, 0.49, 0.14, 0.33, 0.20, 08/07/24-18:15:37
gpt-4o, neutral, 0.49, 0.77, 0.54, 0.64, 08/07/24-18:15:37
gpt-4o, AVERAGE, 0.49, 0.49, 0.49, 0.49, 08/07/24-18:15:37
gpt-4-turbo, surprise, 0.48, 0.16, 0.41, 0.23, 08/07/24-18:22:35
gpt-4-turbo, contempt, 0.48, 0.41, 0.51, 0.46, 08/07/24-18:22:35
gpt-4-turbo, anger, 0.48, 0.62, 0.24, 0.35, 08/07/24-18:22:35
gpt-4-turbo, sadness, 0.48, 0.29, 0.58, 0.39, 08/07/24-18:22:35
gpt-4-turbo, happiness, 0.48, 0.76, 0.62, 0.68, 08/07/24-18:22:35
gpt-4-turbo, indignation, 0.48, 0.23, 0.53, 0.32, 08/07/24-18:22:35
gpt-4-turbo, disgust, 0.48, 0.25, 0.50, 0.33, 08/07/24-18:22:35
gpt-4-turbo, fear, 0.48, 0.15, 0.67, 0.25, 08/07/24-18:22:35
gpt-4-turbo, neutral, 0.48, 0.77, 0.47, 0.58, 08/07/24-18:22:35
gpt-4-turbo, AVERAGE, 0.48, 0.48, 0.48, 0.48, 08/07/24-18:22:35
gpt-3.5-turbo-0125, surprise, 0.39, 0.14, 0.14, 0.14, 08/07/24-18:27:08
gpt-3.5-turbo-0125, contempt, 0.39, 0.24, 0.33, 0.28, 08/07/24-18:27:08
gpt-3.5-turbo-0125, anger, 0.39, 0.00, 0.00, 0.00, 08/07/24-18:27:08
gpt-3.5-turbo-0125, sadness, 0.39, 0.36, 0.42, 0.38, 08/07/24-18:27:08
gpt-3.5-turbo-0125, happiness, 0.39, 0.75, 0.71, 0.73, 08/07/24-18:27:08
gpt-3.5-turbo-0125, indignation, 0.39, 0.17, 0.68, 0.27, 08/07/24-18:27:08
gpt-3.5-turbo-0125, disgust, 0.39, 0.11, 0.50, 0.18, 08/07/24-18:27:08
gpt-3.5-turbo-0125, fear, 0.39, 0.10, 0.33, 0.15, 08/07/24-18:27:08
gpt-3.5-turbo-0125, neutral, 0.39, 0.68, 0.34, 0.45, 08/07/24-18:27:08
gpt-3.5-turbo-0125, AVERAGE, 0.39, 0.40, 0.39, 0.39, 08/07/24-18:27:08
open-mistral-nemo-2407, surprise, 0.48, 0.12, 0.03, 0.05, 08/07/24-18:35:21
open-mistral-nemo-2407, contempt, 0.48, 0.62, 0.16, 0.25, 08/07/24-18:35:21
open-mistral-nemo-2407, anger, 0.48, 0.40, 0.13, 0.20, 08/07/24-18:35:21
open-mistral-nemo-2407, sadness, 0.48, 0.67, 0.33, 0.44, 08/07/24-18:35:21
open-mistral-nemo-2407, happiness, 0.48, 0.70, 0.41, 0.52, 08/07/24-18:35:21
open-mistral-nemo-2407, indignation, 0.48, 0.00, 0.00, 0.00, 08/07/24-18:35:21
