Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, hate, 0.33, 0.01, 0.50, 0.03, 08/02/24-16:53:37
senticnet, not hate, 0.33, 0.97, 0.32, 0.48, 08/02/24-16:53:37
senticnet, AVERAGE, 0.33, 0.33, 0.33, 0.33, 08/02/24-16:53:37
gpt-4o, hate, 0.94, 0.26, 1.00, 0.42, 08/02/24-16:57:34
gpt-4o, not hate, 0.94, 1.00, 0.94, 0.97, 08/02/24-16:57:34
gpt-4o, AVERAGE, 0.94, 0.94, 0.94, 0.94, 08/02/24-16:57:34
gpt-4-turbo, hate, 0.95, 0.26, 0.80, 0.39, 08/02/24-17:03:01
gpt-4-turbo, not hate, 0.95, 1.00, 0.95, 0.97, 08/02/24-17:03:01
gpt-4-turbo, AVERAGE, 0.95, 0.95, 0.95, 0.95, 08/02/24-17:03:01
gpt-3.5-turbo-0125, hate, 0.68, 0.05, 0.90, 0.10, 08/02/24-17:06:38
gpt-3.5-turbo-0125, not hate, 0.68, 1.00, 0.67, 0.80, 08/02/24-17:06:38
gpt-3.5-turbo-0125, AVERAGE, 0.68, 0.68, 0.68, 0.68, 08/02/24-17:06:38
open-mistral-nemo-2407, hate, 0.34, 0.03, 1.00, 0.06, 08/02/24-17:14:33
open-mistral-nemo-2407, not hate, 0.34, 1.00, 0.33, 0.49, 08/02/24-17:14:33
open-mistral-nemo-2407, AVERAGE, 0.34, 0.34, 0.34, 0.34, 08/02/24-17:14:33
mistral-large-latest, hate, 0.49, 0.04, 1.00, 0.07, 08/02/24-17:23:23
mistral-large-latest, not hate, 0.49, 1.00, 0.48, 0.65, 08/02/24-17:23:23
mistral-large-latest, AVERAGE, 0.49, 0.49, 0.49, 0.49, 08/02/24-17:23:23
