Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, irony, 0.52, 0.11, 0.76, 0.19, 07/29/24-08:42:09
gpt-4o, not irony, 0.52, 0.97, 0.52, 0.68, 07/29/24-08:42:09
gpt-4o, unclear, 0.52, 0.15, 0.33, 0.21, 07/29/24-08:42:09
gpt-4o, AVERAGE, 0.52, 0.52, 0.52, 0.52, 07/29/24-08:42:09
gpt-4-turbo, irony, 0.45, 0.08, 0.92, 0.15, 07/29/24-08:47:19
gpt-4-turbo, not irony, 0.45, 0.94, 0.46, 0.62, 07/29/24-08:47:19
gpt-4-turbo, unclear, 0.45, 0.12, 0.03, 0.04, 07/29/24-08:47:19
gpt-4-turbo, AVERAGE, 0.45, 0.45, 0.45, 0.45, 07/29/24-08:47:19
gpt-3.5-turbo-0125, irony, 0.10, 0.06, 0.76, 0.12, 07/29/24-08:50:10
gpt-3.5-turbo-0125, not irony, 0.10, 0.93, 0.03, 0.06, 07/29/24-08:50:10
gpt-3.5-turbo-0125, unclear, 0.10, 0.09, 0.41, 0.15, 07/29/24-08:50:10
gpt-3.5-turbo-0125, AVERAGE, 0.10, 0.10, 0.10, 0.10, 07/29/24-08:50:10
open-mistral-nemo-2407, irony, 0.32, 0.05, 0.64, 0.09, 07/29/24-09:09:05
open-mistral-nemo-2407, not irony, 0.32, 0.87, 0.33, 0.47, 07/29/24-09:09:05
open-mistral-nemo-2407, unclear, 0.32, 0.00, 0.00, 0.00, 07/29/24-09:09:05
open-mistral-nemo-2407, AVERAGE, 0.32, 0.32, 0.32, 0.32, 07/29/24-09:09:05
mistral-large-latest, irony, 0.38, 0.06, 0.52, 0.11, 07/29/24-09:17:32
mistral-large-latest, not irony, 0.38, 0.89, 0.38, 0.53, 07/29/24-09:17:32
mistral-large-latest, unclear, 0.38, 0.12, 0.33, 0.18, 07/29/24-09:17:32
mistral-large-latest, AVERAGE, 0.38, 0.38, 0.38, 0.38, 07/29/24-09:17:32
gpt-4o, irony, 0.50, 0.11, 0.76, 0.19, 07/29/24-09:33:59
gpt-4o, not irony, 0.50, 0.96, 0.50, 0.66, 07/29/24-09:33:59
gpt-4o, unclear, 0.50, 0.10, 0.23, 0.14, 07/29/24-09:33:59
gpt-4o, AVERAGE, 0.50, 0.50, 0.50, 0.50, 07/29/24-09:33:59
claude-3-5-sonnet-20240620, irony, 0.44, 0.12, 0.68, 0.20, 07/29/24-09:57:24
claude-3-5-sonnet-20240620, not irony, 0.44, 0.95, 0.42, 0.59, 07/29/24-09:57:24
claude-3-5-sonnet-20240620, unclear, 0.44, 0.12, 0.49, 0.19, 07/29/24-09:57:24
claude-3-5-sonnet-20240620, AVERAGE, 0.44, 0.44, 0.44, 0.44, 07/29/24-09:57:24
claude-3-haiku-20240307, irony, 0.19, 0.05, 0.84, 0.10, 07/29/24-10:07:25
claude-3-haiku-20240307, not irony, 0.19, 0.93, 0.17, 0.29, 07/29/24-10:07:25
claude-3-haiku-20240307, unclear, 0.19, 0.00, 0.00, 0.00, 07/29/24-10:07:25
claude-3-haiku-20240307, AVERAGE, 0.19, 0.19, 0.19, 0.19, 07/29/24-10:07:25
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-21:23:53
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-21:23:53
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-21:23:53
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-21:23:53
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-21:47:26
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-21:47:26
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-21:47:26
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-21:47:26
gpt-4o, irony, 0.49, 0.10, 0.72, 0.18, 08/02/24-21:51:19
gpt-4o, not irony, 0.49, 0.96, 0.50, 0.66, 08/02/24-21:51:19
gpt-4o, unclear, 0.49, 0.10, 0.26, 0.15, 08/02/24-21:51:19
gpt-4o, AVERAGE, 0.49, 0.50, 0.49, 0.49, 08/02/24-21:51:19
gpt-4-turbo, irony, 0.46, 0.08, 0.92, 0.15, 08/02/24-21:56:12
gpt-4-turbo, not irony, 0.46, 0.94, 0.47, 0.62, 08/02/24-21:56:12
gpt-4-turbo, unclear, 0.46, 0.11, 0.03, 0.04, 08/02/24-21:56:12
gpt-4-turbo, AVERAGE, 0.46, 0.46, 0.46, 0.46, 08/02/24-21:56:12
gpt-3.5-turbo-0125, irony, 0.08, 0.06, 0.76, 0.11, 08/02/24-21:59:56
gpt-3.5-turbo-0125, not irony, 0.08, 1.00, 0.03, 0.05, 08/02/24-21:59:56
gpt-3.5-turbo-0125, unclear, 0.08, 0.07, 0.31, 0.12, 08/02/24-21:59:56
gpt-3.5-turbo-0125, AVERAGE, 0.08, 0.09, 0.08, 0.09, 08/02/24-21:59:56
open-mistral-nemo-2407, irony, 0.34, 0.06, 0.76, 0.11, 08/02/24-22:07:59
open-mistral-nemo-2407, not irony, 0.34, 0.89, 0.34, 0.49, 08/02/24-22:07:59
open-mistral-nemo-2407, unclear, 0.34, 0.00, 0.00, 0.00, 08/02/24-22:07:59
open-mistral-nemo-2407, AVERAGE, 0.34, 0.34, 0.34, 0.34, 08/02/24-22:07:59
mistral-large-latest, irony, 0.38, 0.07, 0.60, 0.13, 08/02/24-22:16:07
mistral-large-latest, not irony, 0.38, 0.88, 0.39, 0.54, 08/02/24-22:16:07
mistral-large-latest, unclear, 0.38, 0.08, 0.21, 0.11, 08/02/24-22:16:07
mistral-large-latest, AVERAGE, 0.38, 0.38, 0.38, 0.38, 08/02/24-22:16:07
claude-3-5-sonnet-20240620, irony, 0.44, 0.12, 0.68, 0.20, 08/03/24-16:43:27
claude-3-5-sonnet-20240620, not irony, 0.44, 0.94, 0.43, 0.59, 08/03/24-16:43:27
claude-3-5-sonnet-20240620, unclear, 0.44, 0.11, 0.41, 0.17, 08/03/24-16:43:27
claude-3-5-sonnet-20240620, AVERAGE, 0.44, 0.44, 0.44, 0.44, 08/03/24-16:43:27
claude-3-haiku-20240307, irony, 0.20, 0.05, 0.88, 0.10, 08/06/24-22:19:26
claude-3-haiku-20240307, not irony, 0.20, 0.94, 0.18, 0.30, 08/06/24-22:19:26
claude-3-haiku-20240307, unclear, 0.20, 0.50, 0.03, 0.05, 08/06/24-22:19:26
claude-3-haiku-20240307, AVERAGE, 0.20, 0.20, 0.20, 0.20, 08/06/24-22:19:26
