Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, irony, 0.55, 0.11, 0.88, 0.19, 07/29/24-10:23:07
gpt-4o, not irony, 0.55, 0.96, 0.57, 0.72, 07/29/24-10:23:07
gpt-4o, unclear, 0.55, 0.13, 0.13, 0.13, 07/29/24-10:23:07
gpt-4o, AVERAGE, 0.55, 0.55, 0.55, 0.55, 07/29/24-10:23:07
gpt-4-turbo, irony, 0.48, 0.08, 0.76, 0.15, 07/29/24-10:28:41
gpt-4-turbo, not irony, 0.48, 0.94, 0.49, 0.65, 07/29/24-10:28:41
gpt-4-turbo, unclear, 0.48, 0.10, 0.10, 0.10, 07/29/24-10:28:41
gpt-4-turbo, AVERAGE, 0.48, 0.48, 0.48, 0.48, 07/29/24-10:28:41
gpt-3.5-turbo-0125, irony, 0.26, 0.07, 0.88, 0.14, 07/29/24-10:31:46
gpt-3.5-turbo-0125, not irony, 0.26, 0.94, 0.23, 0.37, 07/29/24-10:31:46
gpt-3.5-turbo-0125, unclear, 0.26, 0.09, 0.23, 0.13, 07/29/24-10:31:46
gpt-3.5-turbo-0125, AVERAGE, 0.26, 0.26, 0.26, 0.26, 07/29/24-10:31:46
open-mistral-nemo-2407, irony, 0.34, 0.07, 0.88, 0.12, 07/29/24-10:39:51
open-mistral-nemo-2407, not irony, 0.34, 0.91, 0.34, 0.49, 07/29/24-10:39:51
open-mistral-nemo-2407, unclear, 0.34, 0.25, 0.03, 0.05, 07/29/24-10:39:51
open-mistral-nemo-2407, AVERAGE, 0.34, 0.34, 0.34, 0.34, 07/29/24-10:39:51
mistral-large-latest, irony, 0.34, 0.07, 0.80, 0.13, 07/29/24-10:48:15
mistral-large-latest, not irony, 0.34, 0.92, 0.33, 0.48, 07/29/24-10:48:15
mistral-large-latest, unclear, 0.34, 0.12, 0.18, 0.15, 07/29/24-10:48:15
mistral-large-latest, AVERAGE, 0.34, 0.34, 0.34, 0.34, 07/29/24-10:48:15
claude-3-5-sonnet-20240620, irony, 0.46, 0.08, 0.92, 0.15, 07/29/24-11:00:01
claude-3-5-sonnet-20240620, not irony, 0.46, 0.98, 0.47, 0.63, 07/29/24-11:00:01
claude-3-5-sonnet-20240620, unclear, 0.46, 0.14, 0.05, 0.08, 07/29/24-11:00:01
claude-3-5-sonnet-20240620, AVERAGE, 0.46, 0.46, 0.46, 0.46, 07/29/24-11:00:01
claude-3-haiku-20240307, irony, 0.22, 0.06, 0.92, 0.11, 07/29/24-11:09:14
claude-3-haiku-20240307, not irony, 0.22, 0.93, 0.20, 0.33, 07/29/24-11:09:14
claude-3-haiku-20240307, unclear, 0.22, 1.00, 0.03, 0.05, 07/29/24-11:09:14
claude-3-haiku-20240307, AVERAGE, 0.22, 0.22, 0.22, 0.22, 07/29/24-11:09:14
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-21:24:01
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-21:24:01
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-21:24:01
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-21:24:01
senticnet, irony, 0.09, 0.04, 0.08, 0.05, 08/02/24-22:16:12
senticnet, not irony, 0.09, 0.63, 0.03, 0.05, 08/02/24-22:16:12
senticnet, unclear, 0.09, 0.07, 0.82, 0.14, 08/02/24-22:16:12
senticnet, AVERAGE, 0.09, 0.09, 0.09, 0.09, 08/02/24-22:16:12
gpt-4o, irony, 0.55, 0.11, 0.88, 0.19, 08/02/24-22:19:49
gpt-4o, not irony, 0.55, 0.97, 0.57, 0.71, 08/02/24-22:19:49
gpt-4o, unclear, 0.55, 0.13, 0.13, 0.13, 08/02/24-22:19:49
gpt-4o, AVERAGE, 0.55, 0.55, 0.55, 0.55, 08/02/24-22:19:49
gpt-4-turbo, irony, 0.48, 0.09, 0.84, 0.17, 08/02/24-22:24:48
gpt-4-turbo, not irony, 0.48, 0.94, 0.50, 0.65, 08/02/24-22:24:48
gpt-4-turbo, unclear, 0.48, 0.10, 0.10, 0.10, 08/02/24-22:24:48
gpt-4-turbo, AVERAGE, 0.48, 0.48, 0.48, 0.48, 08/02/24-22:24:48
gpt-3.5-turbo-0125, irony, 0.26, 0.06, 0.80, 0.12, 08/02/24-22:29:08
gpt-3.5-turbo-0125, not irony, 0.26, 0.94, 0.23, 0.37, 08/02/24-22:29:08
gpt-3.5-turbo-0125, unclear, 0.26, 0.16, 0.31, 0.21, 08/02/24-22:29:08
gpt-3.5-turbo-0125, AVERAGE, 0.26, 0.27, 0.26, 0.26, 08/02/24-22:29:08
open-mistral-nemo-2407, irony, 0.32, 0.07, 0.96, 0.13, 08/02/24-22:37:16
open-mistral-nemo-2407, not irony, 0.32, 0.89, 0.31, 0.46, 08/02/24-22:37:16
open-mistral-nemo-2407, unclear, 0.32, 0.33, 0.03, 0.05, 08/02/24-22:37:16
open-mistral-nemo-2407, AVERAGE, 0.32, 0.32, 0.32, 0.32, 08/02/24-22:37:16
mistral-large-latest, irony, 0.34, 0.07, 0.76, 0.12, 08/02/24-22:45:36
mistral-large-latest, not irony, 0.34, 0.91, 0.33, 0.48, 08/02/24-22:45:36
mistral-large-latest, unclear, 0.34, 0.12, 0.18, 0.14, 08/02/24-22:45:36
mistral-large-latest, AVERAGE, 0.34, 0.34, 0.34, 0.34, 08/02/24-22:45:36
