Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, offensive, 0.37, 0.17, 0.62, 0.27, 07/28/24-21:08:33
senticnet, not offensive, 0.37, 0.78, 0.31, 0.45, 07/28/24-21:08:33
senticnet, AVERAGE, 0.37, 0.37, 0.37, 0.37, 07/28/24-21:08:33
gpt-4o, offensive, 0.86, 0.84, 0.39, 0.54, 07/28/24-21:11:23
gpt-4o, not offensive, 0.86, 0.87, 0.97, 0.92, 07/28/24-21:11:23
gpt-4o, AVERAGE, 0.86, 0.87, 0.86, 0.87, 07/28/24-21:11:23
gpt-4-turbo, offensive, 0.85, 0.68, 0.38, 0.49, 07/28/24-21:15:23
gpt-4-turbo, not offensive, 0.85, 0.87, 0.96, 0.91, 07/28/24-21:15:23
gpt-4-turbo, AVERAGE, 0.85, 0.85, 0.85, 0.85, 07/28/24-21:15:23
gpt-3.5-turbo-0125, offensive, 0.80, 0.48, 0.41, 0.45, 07/28/24-21:18:23
gpt-3.5-turbo-0125, not offensive, 0.80, 0.87, 0.89, 0.88, 07/28/24-21:18:23
gpt-3.5-turbo-0125, AVERAGE, 0.80, 0.81, 0.80, 0.80, 07/28/24-21:18:23
open-mistral-nemo-2407, offensive, 0.32, 0.21, 0.98, 0.35, 07/28/24-21:26:15
open-mistral-nemo-2407, not offensive, 0.32, 0.97, 0.17, 0.28, 07/28/24-21:26:15
open-mistral-nemo-2407, AVERAGE, 0.32, 0.32, 0.32, 0.32, 07/28/24-21:26:15
mistral-large-latest, offensive, 0.79, 0.47, 0.68, 0.55, 07/28/24-21:34:30
mistral-large-latest, not offensive, 0.79, 0.92, 0.81, 0.86, 07/28/24-21:34:30
mistral-large-latest, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/28/24-21:34:30
claude-3-5-sonnet-20240620, offensive, 0.87, 0.86, 0.39, 0.54, 08/07/24-12:05:57
claude-3-5-sonnet-20240620, not offensive, 0.87, 0.88, 0.98, 0.93, 08/07/24-12:05:57
claude-3-5-sonnet-20240620, AVERAGE, 0.87, 0.87, 0.87, 0.87, 08/07/24-12:05:57
claude-3-haiku-20240307, offensive, 0.69, 0.40, 0.76, 0.52, 08/07/24-12:20:21
claude-3-haiku-20240307, not offensive, 0.69, 0.93, 0.67, 0.78, 08/07/24-12:20:21
claude-3-haiku-20240307, AVERAGE, 0.69, 0.73, 0.69, 0.71, 08/07/24-12:20:21
