Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, negative, 0.60, 0.53, 0.91, 0.67, 08/07/24-13:14:34
gpt-4o, positive, 0.60, 0.51, 0.88, 0.64, 08/07/24-13:14:34
gpt-4o, neutral, 0.60, 0.91, 0.38, 0.54, 08/07/24-13:14:34
gpt-4o, AVERAGE, 0.60, 0.61, 0.60, 0.61, 08/07/24-13:14:34
gpt-4-turbo, negative, 0.59, 0.51, 0.85, 0.64, 08/07/24-14:18:00
gpt-4-turbo, positive, 0.59, 0.50, 0.86, 0.63, 08/07/24-14:18:00
gpt-4-turbo, neutral, 0.59, 0.83, 0.38, 0.52, 08/07/24-14:18:00
gpt-4-turbo, AVERAGE, 0.59, 0.59, 0.59, 0.59, 08/07/24-14:18:00
gpt-3.5-turbo-0125, negative, 0.42, 0.47, 0.55, 0.51, 08/07/24-14:21:11
gpt-3.5-turbo-0125, positive, 0.42, 0.34, 0.89, 0.49, 08/07/24-14:21:11
gpt-3.5-turbo-0125, neutral, 0.42, 0.75, 0.16, 0.26, 08/07/24-14:21:11
gpt-3.5-turbo-0125, AVERAGE, 0.42, 0.42, 0.42, 0.42, 08/07/24-14:21:11
open-mistral-nemo-2407, negative, 0.58, 0.46, 0.07, 0.13, 08/07/24-14:28:17
open-mistral-nemo-2407, positive, 0.58, 0.75, 0.08, 0.15, 08/07/24-14:28:17
open-mistral-nemo-2407, neutral, 0.58, 0.58, 0.97, 0.72, 08/07/24-14:28:17
open-mistral-nemo-2407, AVERAGE, 0.58, 0.58, 0.58, 0.58, 08/07/24-14:28:17
mistral-large-latest, negative, 0.63, 0.51, 0.34, 0.41, 08/07/24-14:36:09
mistral-large-latest, positive, 0.63, 0.59, 0.59, 0.59, 08/07/24-14:36:09
mistral-large-latest, neutral, 0.63, 0.67, 0.75, 0.71, 08/07/24-14:36:09
mistral-large-latest, AVERAGE, 0.63, 0.63, 0.63, 0.63, 08/07/24-14:36:09
claude-3-5-sonnet-20240620, negative, 0.71, 0.63, 0.71, 0.67, 08/07/24-14:52:10
claude-3-5-sonnet-20240620, positive, 0.71, 0.64, 0.79, 0.71, 08/07/24-14:52:10
claude-3-5-sonnet-20240620, neutral, 0.71, 0.80, 0.67, 0.73, 08/07/24-14:52:10
claude-3-5-sonnet-20240620, AVERAGE, 0.71, 0.71, 0.71, 0.71, 08/07/24-14:52:10
claude-3-haiku-20240307, negative, 0.41, 0.49, 0.55, 0.52, 08/07/24-15:04:36
claude-3-haiku-20240307, positive, 0.41, 0.34, 0.93, 0.50, 08/07/24-15:04:36
claude-3-haiku-20240307, neutral, 0.41, 0.74, 0.13, 0.22, 08/07/24-15:04:36
claude-3-haiku-20240307, AVERAGE, 0.41, 0.41, 0.41, 0.41, 08/07/24-15:04:36
