Model, Class, Accuracy, Precision, Recall, F1, timestamp
gpt-4o, against, 0.65, 0.86, 0.57, 0.69, 07/29/24-12:45:47
gpt-4o, favor, 0.65, 0.72, 0.66, 0.69, 07/29/24-12:45:47
gpt-4o, none, 0.65, 0.40, 0.84, 0.55, 07/29/24-12:45:47
gpt-4o, AVERAGE, 0.65, 0.65, 0.65, 0.65, 07/29/24-12:45:47
gpt-4-turbo, against, 0.63, 0.84, 0.51, 0.64, 07/29/24-12:51:29
gpt-4-turbo, favor, 0.63, 0.59, 0.70, 0.64, 07/29/24-12:51:29
gpt-4-turbo, none, 0.63, 0.46, 0.86, 0.60, 07/29/24-12:51:29
gpt-4-turbo, AVERAGE, 0.63, 0.63, 0.63, 0.63, 07/29/24-12:51:29
gpt-3.5-turbo-0125, against, 0.52, 0.66, 0.56, 0.61, 07/29/24-12:54:26
gpt-3.5-turbo-0125, favor, 0.52, 0.40, 0.54, 0.46, 07/29/24-12:54:26
gpt-3.5-turbo-0125, none, 0.52, 0.38, 0.36, 0.37, 07/29/24-12:54:26
gpt-3.5-turbo-0125, AVERAGE, 0.52, 0.52, 0.52, 0.52, 07/29/24-12:54:26
open-mistral-nemo-2407, against, 0.30, 0.78, 0.06, 0.12, 07/29/24-13:02:20
open-mistral-nemo-2407, favor, 0.30, 0.28, 0.64, 0.39, 07/29/24-13:02:20
open-mistral-nemo-2407, none, 0.30, 0.28, 0.53, 0.36, 07/29/24-13:02:20
open-mistral-nemo-2407, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/29/24-13:02:20
mistral-large-latest, against, 0.42, 0.79, 0.32, 0.45, 07/29/24-13:10:41
mistral-large-latest, favor, 0.42, 0.80, 0.28, 0.41, 07/29/24-13:10:41
mistral-large-latest, none, 0.42, 0.26, 0.93, 0.40, 07/29/24-13:10:41
mistral-large-latest, AVERAGE, 0.42, 0.42, 0.42, 0.42, 07/29/24-13:10:41
