Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.63, 0.69, 0.80, 0.74, 08/02/24-18:10:10
senticnet, negative, 0.63, 0.42, 0.29, 0.35, 08/02/24-18:10:10
senticnet, AVERAGE, 0.63, 0.63, 0.63, 0.63, 08/02/24-18:10:10
gpt-4o, positive, 0.84, 0.89, 0.86, 0.87, 08/02/24-18:14:14
gpt-4o, negative, 0.84, 0.74, 0.78, 0.76, 08/02/24-18:14:14
gpt-4o, AVERAGE, 0.84, 0.84, 0.84, 0.84, 08/02/24-18:14:14
senticnet, positive, 0.63, 0.69, 0.80, 0.74, 08/02/24-20:24:46
senticnet, negative, 0.63, 0.42, 0.29, 0.35, 08/02/24-20:24:46
senticnet, AVERAGE, 0.63, 0.63, 0.63, 0.63, 08/02/24-20:24:46
gpt-4o, positive, 0.82, 0.88, 0.85, 0.86, 08/02/24-20:28:33
gpt-4o, negative, 0.82, 0.72, 0.76, 0.74, 08/02/24-20:28:33
gpt-4o, AVERAGE, 0.82, 0.82, 0.82, 0.82, 08/02/24-20:28:33
gpt-4-turbo, positive, 0.83, 0.88, 0.87, 0.87, 08/02/24-20:33:37
gpt-4-turbo, negative, 0.83, 0.75, 0.75, 0.75, 08/02/24-20:33:37
gpt-4-turbo, AVERAGE, 0.83, 0.83, 0.83, 0.83, 08/02/24-20:33:37
gpt-3.5-turbo-0125, positive, 0.81, 0.82, 0.91, 0.86, 08/02/24-20:36:49
gpt-3.5-turbo-0125, negative, 0.81, 0.77, 0.61, 0.68, 08/02/24-20:36:49
gpt-3.5-turbo-0125, AVERAGE, 0.81, 0.81, 0.81, 0.81, 08/02/24-20:36:49
open-mistral-nemo-2407, positive, 0.74, 0.84, 0.79, 0.81, 08/02/24-20:45:12
open-mistral-nemo-2407, negative, 0.74, 0.66, 0.64, 0.65, 08/02/24-20:45:12
open-mistral-nemo-2407, AVERAGE, 0.74, 0.78, 0.74, 0.76, 08/02/24-20:45:12
mistral-large-latest, positive, 0.79, 0.86, 0.80, 0.83, 08/02/24-20:53:31
mistral-large-latest, negative, 0.79, 0.66, 0.75, 0.70, 08/02/24-20:53:31
mistral-large-latest, AVERAGE, 0.79, 0.79, 0.79, 0.79, 08/02/24-20:53:31
claude-3-5-sonnet-20240620, positive, 0.81, 0.79, 0.97, 0.87, 08/06/24-16:42:51
claude-3-5-sonnet-20240620, negative, 0.81, 0.89, 0.49, 0.63, 08/06/24-16:42:51
claude-3-5-sonnet-20240620, AVERAGE, 0.81, 0.81, 0.81, 0.81, 08/06/24-16:42:51
claude-3-haiku-20240307, positive, 0.78, 0.81, 0.88, 0.84, 08/06/24-16:58:53
claude-3-haiku-20240307, negative, 0.78, 0.72, 0.59, 0.64, 08/06/24-16:58:53
claude-3-haiku-20240307, AVERAGE, 0.78, 0.78, 0.78, 0.78, 08/06/24-16:58:53
