Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.63, 0.69, 0.80, 0.74, 08/02/24-20:53:36
senticnet, negative, 0.63, 0.42, 0.29, 0.35, 08/02/24-20:53:36
senticnet, AVERAGE, 0.63, 0.63, 0.63, 0.63, 08/02/24-20:53:36
gpt-4o, positive, 0.86, 0.90, 0.89, 0.89, 08/02/24-20:59:18
gpt-4o, negative, 0.86, 0.78, 0.80, 0.79, 08/02/24-20:59:18
gpt-4o, AVERAGE, 0.86, 0.86, 0.86, 0.86, 08/02/24-20:59:18
gpt-4-turbo, positive, 0.83, 0.84, 0.92, 0.88, 08/02/24-21:04:08
gpt-4-turbo, negative, 0.83, 0.80, 0.66, 0.72, 08/02/24-21:04:08
gpt-4-turbo, AVERAGE, 0.83, 0.83, 0.83, 0.83, 08/02/24-21:04:08
gpt-3.5-turbo-0125, positive, 0.79, 0.78, 0.95, 0.86, 08/02/24-21:07:39
gpt-3.5-turbo-0125, negative, 0.79, 0.83, 0.48, 0.61, 08/02/24-21:07:39
gpt-3.5-turbo-0125, AVERAGE, 0.79, 0.79, 0.79, 0.79, 08/02/24-21:07:39
open-mistral-nemo-2407, positive, 0.79, 0.86, 0.81, 0.84, 08/02/24-21:15:24
open-mistral-nemo-2407, negative, 0.79, 0.67, 0.74, 0.70, 08/02/24-21:15:24
open-mistral-nemo-2407, AVERAGE, 0.79, 0.79, 0.79, 0.79, 08/02/24-21:15:24
mistral-large-latest, positive, 0.78, 0.87, 0.79, 0.83, 08/02/24-21:23:49
mistral-large-latest, negative, 0.78, 0.65, 0.77, 0.70, 08/02/24-21:23:49
mistral-large-latest, AVERAGE, 0.78, 0.78, 0.78, 0.78, 08/02/24-21:23:49
