senticnet, negative, 0.31, 0.19, 0.11, 0.14, 07/27/24-20:18:48
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/27/24-20:18:48
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/27/24-20:18:48
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/27/24-20:18:48
senticnet, negative, 0.31, 0.19, 0.11, 0.14, 07/27/24-20:20:17
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/27/24-20:20:17
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/27/24-20:20:17
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/27/24-20:20:17
senticnet, negative, 0.31, 0.19, 0.11, 0.14, 07/27/24-20:22:08
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/27/24-20:22:08
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/27/24-20:22:08
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/27/24-20:22:08
gpt-4o, negative, 0.83, 0.75, 0.87, 0.80, 07/27/24-20:25:55
gpt-4o, neutral, 0.83, 0.60, 0.38, 0.46, 07/27/24-20:25:55
gpt-4o, positive, 0.83, 0.90, 0.93, 0.91, 07/27/24-20:25:55
gpt-4o, AVERAGE, 0.83, 0.84, 0.83, 0.83, 07/27/24-20:25:55
gpt-4-turbo, negative, 0.79, 0.80, 0.77, 0.78, 07/27/24-20:29:55
gpt-4-turbo, neutral, 0.79, 0.41, 0.50, 0.45, 07/27/24-20:29:55
gpt-4-turbo, positive, 0.79, 0.91, 0.86, 0.88, 07/27/24-20:29:55
gpt-4-turbo, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/27/24-20:29:55
gpt-3.5-turbo-0125, negative, 0.79, 0.72, 0.82, 0.77, 07/27/24-20:32:52
gpt-3.5-turbo-0125, neutral, 0.79, 0.67, 0.05, 0.09, 07/27/24-20:32:52
gpt-3.5-turbo-0125, positive, 0.79, 0.82, 0.97, 0.89, 07/27/24-20:32:52
gpt-3.5-turbo-0125, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/27/24-20:32:52
claude-3-5-sonnet-20240620, negative, 0.62, 0.89, 0.34, 0.49, 07/27/24-20:42:35
claude-3-5-sonnet-20240620, neutral, 0.62, 0.38, 0.53, 0.44, 07/27/24-20:42:35
claude-3-5-sonnet-20240620, positive, 0.62, 0.92, 0.73, 0.81, 07/27/24-20:42:35
claude-3-5-sonnet-20240620, AVERAGE, 0.62, 0.77, 0.62, 0.69, 07/27/24-20:42:35
claude-3-haiku-20240307, negative, 0.78, 0.74, 0.73, 0.74, 07/27/24-20:51:42
claude-3-haiku-20240307, neutral, 0.78, 0.35, 0.14, 0.20, 07/27/24-20:51:42
claude-3-haiku-20240307, positive, 0.78, 0.83, 0.95, 0.88, 07/27/24-20:51:42
claude-3-haiku-20240307, AVERAGE, 0.78, 0.78, 0.78, 0.78, 07/27/24-20:51:42
open-mistral-nemo-2407, negative, 0.39, 0.89, 0.17, 0.29, 07/27/24-20:59:08
open-mistral-nemo-2407, neutral, 0.39, 0.20, 0.94, 0.33, 07/27/24-20:59:08
open-mistral-nemo-2407, positive, 0.39, 0.95, 0.32, 0.48, 07/27/24-20:59:08
open-mistral-nemo-2407, AVERAGE, 0.39, 0.39, 0.39, 0.39, 07/27/24-20:59:08
mistral-large-latest, negative, 0.22, 0.71, 0.32, 0.44, 07/27/24-21:07:26
mistral-large-latest, neutral, 0.22, 0.32, 0.10, 0.15, 07/27/24-21:07:26
mistral-large-latest, positive, 0.22, 0.91, 0.23, 0.36, 07/27/24-21:07:26
mistral-large-latest, AVERAGE, 0.22, 0.76, 0.22, 0.34, 07/27/24-21:07:26
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-15:45:59
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-15:45:59
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-15:45:59
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-15:45:59
gpt-4o, positive, 0.85, 0.90, 0.95, 0.93, 07/28/24-15:48:50
gpt-4o, negative, 0.85, 0.83, 0.88, 0.85, 07/28/24-15:48:50
gpt-4o, neutral, 0.85, 0.59, 0.41, 0.49, 07/28/24-15:48:50
gpt-4o, AVERAGE, 0.85, 0.85, 0.85, 0.85, 07/28/24-15:48:50
gpt-4-turbo, positive, 0.84, 0.88, 0.96, 0.92, 07/28/24-15:52:36
gpt-4-turbo, negative, 0.84, 0.86, 0.86, 0.86, 07/28/24-15:52:36
gpt-4-turbo, neutral, 0.84, 0.56, 0.34, 0.42, 07/28/24-15:52:36
gpt-4-turbo, AVERAGE, 0.84, 0.84, 0.84, 0.84, 07/28/24-15:52:36
gpt-3.5-turbo-0125, positive, 0.79, 0.81, 0.96, 0.88, 07/28/24-15:55:15
gpt-3.5-turbo-0125, negative, 0.79, 0.74, 0.76, 0.75, 07/28/24-15:55:15
gpt-3.5-turbo-0125, neutral, 0.79, 0.50, 0.10, 0.17, 07/28/24-15:55:15
gpt-3.5-turbo-0125, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/28/24-15:55:15
open-mistral-nemo-2407, positive, 0.62, 0.88, 0.70, 0.78, 07/28/24-16:03:05
open-mistral-nemo-2407, negative, 0.62, 0.71, 0.22, 0.33, 07/28/24-16:03:05
open-mistral-nemo-2407, neutral, 0.62, 0.28, 0.72, 0.40, 07/28/24-16:03:05
open-mistral-nemo-2407, AVERAGE, 0.62, 0.62, 0.62, 0.62, 07/28/24-16:03:05
mistral-large-latest, positive, 0.74, 0.92, 0.79, 0.85, 07/28/24-16:11:20
mistral-large-latest, negative, 0.74, 0.80, 0.66, 0.73, 07/28/24-16:11:20
mistral-large-latest, neutral, 0.74, 0.36, 0.62, 0.45, 07/28/24-16:11:20
mistral-large-latest, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/28/24-16:11:20
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/30/24-16:16:52
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/30/24-16:16:52
