Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/28/24-13:40:16
senticnet, negative, 0.31, 0.22, 0.13, 0.16, 07/28/24-13:40:16
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/28/24-13:40:16
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/28/24-13:40:16
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/28/24-13:42:49
senticnet, negative, 0.31, 0.22, 0.13, 0.16, 07/28/24-13:42:49
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/28/24-13:42:49
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/28/24-13:42:49
gpt-4o, positive, 0.00, 0.00, 0.00, 0.00, 07/28/24-13:46:24
gpt-4o, negative, 0.00, 0.00, 0.00, 0.00, 07/28/24-13:46:24
gpt-4o, neutral, 0.00, 0.00, 0.00, 0.00, 07/28/24-13:46:24
gpt-4o, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/28/24-13:46:24
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/28/24-13:51:02
senticnet, negative, 0.31, 0.22, 0.13, 0.16, 07/28/24-13:51:02
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/28/24-13:51:02
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/28/24-13:51:02
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/28/24-13:53:01
senticnet, negative, 0.31, 0.22, 0.13, 0.16, 07/28/24-13:53:01
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/28/24-13:53:01
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/28/24-13:53:01
senticnet, positive, 0.31, 0.78, 0.28, 0.41, 07/28/24-13:53:58
senticnet, negative, 0.31, 0.22, 0.13, 0.16, 07/28/24-13:53:58
senticnet, neutral, 0.31, 0.16, 0.64, 0.25, 07/28/24-13:53:58
senticnet, AVERAGE, 0.31, 0.31, 0.31, 0.31, 07/28/24-13:53:58
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-13:55:01
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-13:55:01
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-13:55:01
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-13:55:01
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-13:58:07
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-13:58:07
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-13:58:07
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-13:58:07
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-13:59:46
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-13:59:46
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-13:59:46
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-13:59:46
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:00:47
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:00:47
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:00:47
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:00:47
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:01:18
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:01:18
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:01:18
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:01:18
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:02:19
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:02:19
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:02:19
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:02:19
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:04:21
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:04:21
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:04:21
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:04:21
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:04:58
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:04:58
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:04:58
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:04:58
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:05:15
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:05:15
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:05:15
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:05:15
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:05:54
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:05:54
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:05:54
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:05:54
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:09:44
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:09:44
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:09:44
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:09:44
gpt-4o, positive, 0.78, 0.93, 0.87, 0.90, 07/28/24-14:12:36
gpt-4o, negative, 0.78, 0.81, 0.68, 0.74, 07/28/24-14:12:36
gpt-4o, neutral, 0.78, 0.48, 0.54, 0.51, 07/28/24-14:12:36
gpt-4o, AVERAGE, 0.78, 0.83, 0.78, 0.80, 07/28/24-14:12:36
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/28/24-14:16:41
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/28/24-14:16:41
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/28/24-14:16:41
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/28/24-14:16:41
gpt-4o, positive, 0.86, 0.93, 0.94, 0.93, 07/28/24-14:19:35
gpt-4o, negative, 0.86, 0.84, 0.87, 0.86, 07/28/24-14:19:35
gpt-4o, neutral, 0.86, 0.60, 0.55, 0.58, 07/28/24-14:19:35
gpt-4o, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/28/24-14:19:35
gpt-4-turbo, positive, 0.83, 0.93, 0.91, 0.92, 07/28/24-14:23:25
gpt-4-turbo, negative, 0.83, 0.81, 0.80, 0.81, 07/28/24-14:23:25
gpt-4-turbo, neutral, 0.83, 0.47, 0.54, 0.50, 07/28/24-14:23:25
gpt-4-turbo, AVERAGE, 0.83, 0.83, 0.83, 0.83, 07/28/24-14:23:25
gpt-3.5-turbo-0125, positive, 0.78, 0.83, 0.92, 0.87, 07/28/24-14:26:22
gpt-3.5-turbo-0125, negative, 0.78, 0.84, 0.72, 0.77, 07/28/24-14:26:22
gpt-3.5-turbo-0125, neutral, 0.78, 0.40, 0.29, 0.34, 07/28/24-14:26:22
gpt-3.5-turbo-0125, AVERAGE, 0.78, 0.78, 0.78, 0.78, 07/28/24-14:26:22
open-mistral-nemo-2407, positive, 0.56, 0.95, 0.49, 0.64, 07/28/24-14:34:12
open-mistral-nemo-2407, negative, 0.56, 0.81, 0.57, 0.67, 07/28/24-14:34:12
open-mistral-nemo-2407, neutral, 0.56, 0.26, 0.86, 0.40, 07/28/24-14:34:12
open-mistral-nemo-2407, AVERAGE, 0.56, 0.56, 0.56, 0.56, 07/28/24-14:34:12
mistral-large-latest, positive, 0.79, 0.92, 0.84, 0.88, 07/28/24-14:42:29
mistral-large-latest, negative, 0.79, 0.82, 0.77, 0.79, 07/28/24-14:42:29
mistral-large-latest, neutral, 0.79, 0.42, 0.60, 0.49, 07/28/24-14:42:29
mistral-large-latest, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/28/24-14:42:29
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/30/24-16:47:45
