Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/30/24-17:17:18
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/30/24-17:17:18
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/30/24-17:17:18
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/30/24-17:17:18
gpt-4o, positive, 0.86, 0.93, 0.93, 0.93, 07/30/24-17:20:47
gpt-4o, negative, 0.86, 0.83, 0.91, 0.87, 07/30/24-17:20:47
gpt-4o, neutral, 0.86, 0.60, 0.53, 0.56, 07/30/24-17:20:47
gpt-4o, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/30/24-17:20:47
gpt-4-turbo, positive, 0.83, 0.94, 0.88, 0.91, 07/30/24-17:25:58
gpt-4-turbo, negative, 0.83, 0.85, 0.85, 0.85, 07/30/24-17:25:58
gpt-4-turbo, neutral, 0.83, 0.48, 0.60, 0.53, 07/30/24-17:25:58
gpt-4-turbo, AVERAGE, 0.83, 0.83, 0.83, 0.83, 07/30/24-17:25:58
gpt-3.5-turbo-0125, positive, 0.80, 0.83, 0.96, 0.89, 07/30/24-17:29:05
gpt-3.5-turbo-0125, negative, 0.80, 0.76, 0.80, 0.78, 07/30/24-17:29:05
gpt-3.5-turbo-0125, neutral, 0.80, 0.50, 0.15, 0.23, 07/30/24-17:29:05
gpt-3.5-turbo-0125, AVERAGE, 0.80, 0.80, 0.80, 0.80, 07/30/24-17:29:05
open-mistral-nemo-2407, positive, 0.51, 0.96, 0.42, 0.58, 07/30/24-20:31:16
open-mistral-nemo-2407, negative, 0.51, 0.91, 0.47, 0.62, 07/30/24-20:31:16
open-mistral-nemo-2407, neutral, 0.51, 0.24, 0.91, 0.37, 07/30/24-20:31:16
open-mistral-nemo-2407, AVERAGE, 0.51, 0.51, 0.51, 0.51, 07/30/24-20:31:16
mistral-large-latest, positive, 0.82, 0.90, 0.90, 0.90, 07/30/24-20:39:41
mistral-large-latest, negative, 0.82, 0.78, 0.83, 0.80, 07/30/24-20:39:41
mistral-large-latest, neutral, 0.82, 0.49, 0.46, 0.48, 07/30/24-20:39:41
mistral-large-latest, AVERAGE, 0.82, 0.82, 0.82, 0.82, 07/30/24-20:39:41
