Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/27/24-22:59:18
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/27/24-22:59:18
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/27/24-22:59:18
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/27/24-22:59:18
gpt-4o, positive, 0.70, 0.84, 0.66, 0.74, 07/27/24-23:02:23
gpt-4o, negative, 0.70, 0.67, 0.83, 0.74, 07/27/24-23:02:23
gpt-4o, neutral, 0.70, 0.82, 0.63, 0.71, 07/27/24-23:02:23
gpt-4o, AVERAGE, 0.70, 0.76, 0.70, 0.73, 07/27/24-23:02:23
gpt-4-turbo, positive, 0.68, 0.78, 0.75, 0.77, 07/27/24-23:06:52
gpt-4-turbo, negative, 0.68, 0.60, 0.92, 0.73, 07/27/24-23:06:52
gpt-4-turbo, neutral, 0.68, 0.82, 0.51, 0.63, 07/27/24-23:06:52
gpt-4-turbo, AVERAGE, 0.68, 0.71, 0.68, 0.70, 07/27/24-23:06:52
gpt-3.5-turbo-0125, positive, 0.62, 0.59, 0.86, 0.70, 07/27/24-23:10:02
gpt-3.5-turbo-0125, negative, 0.62, 0.56, 0.86, 0.68, 07/27/24-23:10:02
gpt-3.5-turbo-0125, neutral, 0.62, 0.81, 0.37, 0.51, 07/27/24-23:10:02
gpt-3.5-turbo-0125, AVERAGE, 0.62, 0.62, 0.62, 0.62, 07/27/24-23:10:02
open-mistral-nemo-2407, positive, 0.51, 0.64, 0.16, 0.26, 07/27/24-23:36:47
open-mistral-nemo-2407, negative, 0.51, 0.75, 0.06, 0.11, 07/27/24-23:36:47
open-mistral-nemo-2407, neutral, 0.51, 0.50, 0.93, 0.65, 07/27/24-23:36:47
open-mistral-nemo-2407, AVERAGE, 0.51, 0.52, 0.51, 0.51, 07/27/24-23:36:47
mistral-large-latest, positive, 0.11, 0.80, 0.16, 0.27, 07/27/24-23:45:20
mistral-large-latest, negative, 0.11, 0.57, 0.18, 0.27, 07/27/24-23:45:20
mistral-large-latest, neutral, 0.11, 0.79, 0.04, 0.08, 07/27/24-23:45:20
mistral-large-latest, AVERAGE, 0.11, 0.67, 0.11, 0.19, 07/27/24-23:45:20
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/30/24-10:27:30
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/30/24-10:27:30
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/30/24-10:27:30
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/30/24-10:27:30
gpt-4o, positive, 0.80, 0.86, 0.74, 0.80, 07/30/24-10:30:51
gpt-4o, negative, 0.80, 0.74, 0.87, 0.80, 07/30/24-10:30:51
gpt-4o, neutral, 0.80, 0.82, 0.77, 0.79, 07/30/24-10:30:51
gpt-4o, AVERAGE, 0.80, 0.80, 0.80, 0.80, 07/30/24-10:30:51
gpt-4-turbo, positive, 0.74, 0.78, 0.73, 0.76, 07/30/24-10:36:12
gpt-4-turbo, negative, 0.74, 0.67, 0.89, 0.76, 07/30/24-10:36:12
gpt-4-turbo, neutral, 0.74, 0.80, 0.66, 0.72, 07/30/24-10:36:12
gpt-4-turbo, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/30/24-10:36:12
gpt-3.5-turbo-0125, positive, 0.63, 0.63, 0.84, 0.72, 07/30/24-10:39:23
gpt-3.5-turbo-0125, negative, 0.63, 0.55, 0.85, 0.66, 07/30/24-10:39:23
gpt-3.5-turbo-0125, neutral, 0.63, 0.79, 0.40, 0.53, 07/30/24-10:39:23
gpt-3.5-turbo-0125, AVERAGE, 0.63, 0.63, 0.63, 0.63, 07/30/24-10:39:23
open-mistral-nemo-2407, positive, 0.60, 0.88, 0.22, 0.35, 07/30/24-10:47:29
open-mistral-nemo-2407, negative, 0.60, 0.73, 0.34, 0.46, 07/30/24-10:47:29
open-mistral-nemo-2407, neutral, 0.60, 0.56, 0.92, 0.70, 07/30/24-10:47:29
open-mistral-nemo-2407, AVERAGE, 0.60, 0.60, 0.60, 0.60, 07/30/24-10:47:29
mistral-large-latest, positive, 0.70, 0.77, 0.72, 0.74, 07/30/24-10:56:17
mistral-large-latest, negative, 0.70, 0.61, 0.81, 0.70, 07/30/24-10:56:17
mistral-large-latest, neutral, 0.70, 0.75, 0.63, 0.68, 07/30/24-10:56:17
mistral-large-latest, AVERAGE, 0.70, 0.70, 0.70, 0.70, 07/30/24-10:56:17
