Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/28/24-12:54:23
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/28/24-12:54:23
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/28/24-12:54:23
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/28/24-12:56:46
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/28/24-12:56:46
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/28/24-12:56:46
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/28/24-12:57:06
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/28/24-12:57:06
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/28/24-12:57:06
gpt-4o, positive, 0.90, 0.95, 0.83, 0.89, 07/28/24-13:00:04
gpt-4o, negative, 0.90, 0.86, 0.96, 0.91, 07/28/24-13:00:04
gpt-4o, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/28/24-13:00:04
gpt-4-turbo, positive, 0.91, 0.95, 0.85, 0.90, 07/28/24-13:04:38
gpt-4-turbo, negative, 0.91, 0.87, 0.96, 0.91, 07/28/24-13:04:38
gpt-4-turbo, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/28/24-13:04:38
gpt-3.5-turbo-0125, positive, 0.90, 0.92, 0.89, 0.90, 07/28/24-13:07:44
gpt-3.5-turbo-0125, negative, 0.90, 0.90, 0.92, 0.91, 07/28/24-13:07:44
gpt-3.5-turbo-0125, AVERAGE, 0.90, 0.91, 0.90, 0.90, 07/28/24-13:07:44
open-mistral-nemo-2407, positive, 0.70, 0.98, 0.40, 0.56, 07/28/24-13:15:36
open-mistral-nemo-2407, negative, 0.70, 0.63, 0.99, 0.77, 07/28/24-13:15:36
open-mistral-nemo-2407, AVERAGE, 0.70, 0.70, 0.70, 0.70, 07/28/24-13:15:36
mistral-large-latest, positive, 0.31, 0.98, 0.25, 0.39, 07/28/24-13:24:12
mistral-large-latest, negative, 0.31, 0.95, 0.37, 0.54, 07/28/24-13:24:12
mistral-large-latest, AVERAGE, 0.31, 0.96, 0.31, 0.47, 07/28/24-13:24:12
senticnet, positive, 0.53, 0.88, 0.03, 0.06, 07/28/24-16:27:41
senticnet, negative, 0.53, 0.52, 1.00, 0.68, 07/28/24-16:27:41
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/28/24-16:27:41
gpt-4o, positive, 0.92, 0.96, 0.87, 0.92, 07/28/24-16:30:51
gpt-4o, negative, 0.92, 0.89, 0.97, 0.93, 07/28/24-16:30:51
gpt-4o, AVERAGE, 0.92, 0.92, 0.92, 0.92, 07/28/24-16:30:51
gpt-4-turbo, positive, 0.92, 0.95, 0.87, 0.91, 07/28/24-16:35:38
gpt-4-turbo, negative, 0.92, 0.89, 0.96, 0.93, 07/28/24-16:35:38
