POLARITY		CONCEPT
negative		a_aberandi
positive		a_apex
negative		a_bak_vid_barir
negative		a_bak_vid_tima
negative		a_bakfotum
negative		a_bid
positive		a_bilinu
negative		a_bruninni
positive		a_cue
negative		a_eftir_aaetlun
negative		a_elleftu_stundu
positive		a_eydubladi
negative		a_fritz
positive		a_girdingar
positive		a_hael
negative		a_heimleid
positive		a_heimleid_umferd
positive		a_heimsvisu
positive		a_hestbaki
positive		a_hledslu
negative		a_hradbraut
positive		a_hreyfingu
positive		a_husi
negative		a_hvolfi
negative		a_jadri
negative		a_jordinni
positive		a_kantsaeti
positive		a_lager
positive		a_leidinni
positive		a_leidinni_inn
negative		a_list
positive		a_lista_yfir_lista
positive		a_lykli
positive		a_merki
positive		a_milli
negative		a_milli_theirra
positive		a_moti
positive		a_naestunni
positive		a_namskeidi
positive		a_netinu
positive		a_pedipalp
positive		a_reidhjoli
negative		a_rettarholdin
positive		a_rettri_leid
positive		a_rullu
negative		a_satan_craw
positive		a_stadnum
negative		a_tapi
positive		a_tungumali
negative		a_undan
negative		a_undan_fegurd
positive		a_vaejangi
negative		a_vidvorun
negative		a_vordur
negative		aaetlad_a
positive		aaetlanir
positive		aaetlun
negative		aah
negative		abacinat
positive		abatasamur
negative		abbot
negative		abdicate
positive		abdominoplasty
negative		abduce
negative		abduct
negative		abduct_fornarlamb
negative		abeast
negative		abending
negative		abending_a
negative		abending_azids
positive		abending_bloom
negative		abending_bunk
negative		abending_cairn
positive		abending_executive
negative		abending_greiddur
positive		abending_journal
positive		abending_motorruck
positive		abending_snake
positive		abending_unadur_dragster
positive		abending_vorubill
positive		aberandi
negative		aberrant
negative		aberrate
negative		abettor
negative		abey
negative		abhor
positive		abide
negative		abject
negative		abjure
negative		ablare
negative		ablast
negative		ablate
positive		ablaze
positive		ablest
positive		ably
positive		abnegate
negative		abomasum
negative		aboon
positive		aborfacient
positive		aborigine
positive		abot
negative		aboulia
negative		abracadabra
positive		abractions
negative		abrade
negative		abridge
negative		abrige
negative		abrunn
negative		abscess
negative		abscisic
negative		abscission
negative		abscond
negative		abseil
negative		absolutepunk
negative		absolutism
negative		absolutist
negative		absolutive
positive		abstemious
negative		abstractive
negative		abstruse
negative		absumateled
negative		abulia
negative		abut_rot
positive		abut_weld
positive		abuzz
negative		abuzz_crowd
positive		abyrgd
positive		abyrgdaradili
positive		abyrgur
positive		abysm
negative		abysmal
negative		abyss
negative		acalculia
negative		acanthamoeba
negative		acanthocephalan
negative		acanthus_blada
negative		acaricide
negative		accelerant
positive		accelerometer
negative		accented_styllable
positive		acclamation
positive		acclimate
positive		accolade
positive		accordion
positive		accoutrement
positive		accredit
positive		acculturate
positive		accutre
positive		ace
positive		ace_i_holu
positive		ace_upp_ermi
negative		aceedia_bear
negative		acentric
positive		acerate
positive		acerate_formi
negative		acerbity
positive		acercememement_tune
negative		acercement_needlework
negative		acercement_sandpappir
positive		acerose
positive		acerose_leaf
positive		acerose_logun
negative		acesulfam_kalium
positive		acetabular
positive		acetabulum
negative		acetazolamid
negative		acetify
negative		acetobacter
negative		acetose
negative		acetylkolin_en
negative		acetylsalicylsyru
positive		achalasia
positive		achene
negative		acheronian
negative		acherontic
positive		achilles
negative		achilles_heilar
negative		achilles_meida
negative		achilles_sinon
negative		achlorhydria
negative		achondroplasia
negative		achromasia
negative		achromatic
positive		achromatic_lit
positive		acicular
negative		acicular_beinbrot
negative		acidophilus
negative		acidophilus_bakteriur
negative		acidophilus_flora
negative		acidophilus_microflora
positive		ack
positive		acnielsen
negative		acoel
positive		acoini
positive		acolyte
positive		aconite
positive		acorn_hneta
positive		acorn_ormur
positive		acosematic
positive		acosematic_litarefni
negative		acquisite
positive		acquit
negative		acral
negative		acrid
positive		acrimese
negative		acrimonious
positive		acrobat
negative		acromegalic
positive		acromegaly
positive		acromion
positive		acroread
negative		acrotomophilia
positive		act
positive		actias_moon
negative		actrition
negative		actus_reus
positive		acuity
positive		acumen
positive		acuminate
positive		acuminate_blada
negative		acuminate_brot
positive		acuminate_formi
positive		acuminate_honnun
positive		acusal
positive		acutance
positive		acyclic_dikarboxylsyru
positive		ad_baeta_upp_fyrir
positive		ad_brjota
negative		ad_deyja
positive		ad_deyja_fyrir
negative		ad_eg
positive		ad_eilifu
positive		ad_fa
positive		ad_fara
positive		ad_finna
positive		ad_fljuga
negative		ad_gera_rad_fyrir
positive		ad_hafa
negative		ad_hamstra
positive		ad_hluta_afleida
negative		ad_hluta_til
positive		ad_horfa
negative		ad_kasta
negative		ad_kaupa
positive		ad_koma
positive		ad_kostnadarlausu
positive		ad_krefjast_hefnda
positive		ad_lib
negative		ad_medaltali
negative		ad_motmaela
positive		ad_pose
negative		ad_rue
negative		ad_segja
negative		ad_segja_skilid_vid
